name	collapsed
CREB1	CREB*
CREB3	CREB*
CREB3L1	CREB3L*
CREB3L2	CREB3L*
CREB3L3	CREB3L*
CREB3L4	CREB3L*
CREB5	CREB5
CRK	CRK
CRKL	CRKL
CRTC2	CRTC2
CSF1	CSF1
CSF1R	CSF1R
CSF3	CSF3
CSF3R	CSF3R
CSH1	CSH*
CSH2	CSH*
DAXX	DAXX
DDIT3	DDIT*
DDIT4	DDIT*
DUSP1	DUSP*
DUSP10	DUSP*
DUSP16	DUSP*
DUSP2	DUSP*
DUSP3	DUSP*
DUSP4	DUSP*
DUSP5	DUSP*
DUSP6	DUSP*
DUSP7	DUSP*
DUSP8	DUSP*
DUSP9	DUSP*
ECSIT	ECSIT
EFNA1	EFNA*
EFNA2	EFNA*
EFNA3	EFNA*
EFNA4	EFNA*
EFNA5	EFNA*
EGF	EGF
EGFR	EGFR
EIF4B	EIF4*
EIF4E	EIF4*
EIF4E1B	EIF4E1B
EIF4E2	EIF4E2
EIF4EBP1	EIF4EBP1
ELK1	ELK*
ELK4	ELK*
EPHA2	EPHA2
EPO	EPO
EPOR	EPOR
ERBB2	ERBB*
ERBB3	ERBB*
ERBB4	ERBB*
EREG	EREG
ETS1	ETS*
ETS2	ETS*
EXOC2	EXOC2
F2R	F2R
FAS	FAS
FASLG	FASLG
FGF1	FGF*
FGF10	FGF*
FGF16	FGF*
FGF17	FGF*
FGF18	FGF*
FGF19	FGF*
FGF2	FGF*
FGF20	FGF*
FGF21	FGF*
FGF22	FGF*
FGF23	FGF*
FGF3	FGF*
FGF4	FGF*
FGF5	FGF*
FGF6	FGF*
FGF7	FGF*
FGF8	FGF*
FGF9	FGF*
FGFR1	FGFR*
FGFR2	FGFR*
FGFR3	FGFR*
FGFR4	FGFR*
FLNA	FLN*
FLNB	FLN*
FLNC	FLN*
FLT1	FLT*
FLT3	FLT*
FLT3LG	FLT3LG
FLT4	FLT*
FN1	FN1
FOS	FOS
FOXO3	FOXO3
FOXO4	FOXO4
G6PC1	G6PC*
G6PC2	G6PC*
G6PC3	G6PC*
GAB1	GAB*
GAB2	GAB*
GADD45A	GADD45*
GADD45B	GADD45*
GADD45G	GADD45*
GAS6	GAS6
GH1	GH1
GH2	GH2
GHR	GHR
GNA12	GNA12
GNB1	GNB*
GNB2	GNB*
GNB3	GNB*
GNB4	GNB*
GNB5	GNB*
GNG10	GNG*
GNG11	GNG*
GNG12	GNG*
GNG13	GNG*
GNG2	GNG*
GNG3	GNG*
GNG4	GNG*
GNG5	GNG*
GNG7	GNG*
GNG8	GNG*
GNGT1	GNGT*
GNGT2	GNGT*
GRB2	GRB2
GSK3B	GSK3B
GYS1	GYS*
GYS2	GYS*
HGF	HGF
HRAS	HRAS
HSP90AA1	HSP90AA1
HSP90AB1	HSP90AB1
HSP90B1	HSP90B1
HSPA1A	HSPA1A
HSPA1B	HSPA1B
HSPA1L	HSPA1L
HSPA2	HSPA*
HSPA6	HSPA*
HSPA8	HSPA*
HSPB1	HSPB1
HTR7	HTR7
IBSP	IBSP
IFNA1	IFNA*
IFNA10	IFNA*
IFNA13	IFNA*
IFNA14	IFNA*
IFNA16	IFNA*
IFNA17	IFNA*
IFNA2	IFNA*
